comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
145,0.03092206823799857,4780,2,5873830.01369863,4269,-151850.8420502092,0,240.63768115942028,4573,2876.503759398496,4647,8VA UNIDAD REGIONAL BIO BIO,1914
146,0.034334811223517864,4711,5,1123401421.5591054,2520,829164722.6132456,0,2358.189534141672,3144,4391.842003853564,2635,SANTIAGO ORIENTE,1184
147,0.03499750006316625,4656,24,113479664.11690141,3236,-61225272.02835052,0,595.1049030786774,3779,2423.5134189031505,3799,SANTIAGO ORIENTE,1105
148,0.026085019805110913,4651,6,10431652.126234906,3740,846685.5216082563,0,381.848,4276,3139.887195121951,4323,SANTIAGO CENTRO,1378
149,0.09808899151915193,4578,6,13584028.859550562,4044,193046.79030144168,0,479.24905660377357,4313,3755.9,4418,SANTIAGO PONIENTE,615
150,0.025482581728791247,4565,2,12540000.294117646,3664,3041250.256297919,0,293.6243093922652,4203,3463.4921875,4309,6TA UNIDAD REGIONAL RANCAGUA,1124
151,0.03901316128209686,4520,2,19578395.621880997,3999,65451.649778761064,0,949.8333333333334,4412,2871.608695652174,4428,SANTIAGO SUR,477
152,0.045881247675622065,4484,32,55682976.71052632,3686,-15725799.691347012,0,1508.6230598669622,4033,3962.348884381339,3991,5TA UNIDAD REGIONAL VALPARAISO,1598
153,0.047535933340511254,4397,1,33703369.33481482,3722,-36098896.983170345,0,1901.338028169014,4255,2789.8841463414633,4233,SANTIAGO ORIENTE,786
154,0.028962300068842605,4396,5,8634758.953818828,3833,777447.5145586897,0,499.2705882352941,4226,3368.6375838926174,4247,SANTIAGO SUR,1316
155,0.04585552203651497,4368,18,12685809.56862745,3144,-3017745.0943223443,0,480.01536312849163,3652,3720.82962962963,3828,8VA UNIDAD REGIONAL BIO BIO,1605
156,0.043572420576472745,4339,7,205401211.31407943,3785,-17984755.086425442,0,2723.395209580838,4172,3207.277777777778,4141,SANTIAGO CENTRO,935
157,0.3348924258490674,4304,4,4822503.9443099275,3891,4477270.239312268,0,1470.5581395348838,4218,3033.095890410959,4231,8VA UNIDAD REGIONAL BIO BIO,666
158,0.1200157018940267,4245,4,11402046.067264574,3799,-1097298.7057714958,0,652.7410714285714,4133,2792.8387096774195,4121,8VA UNIDAD REGIONAL BIO BIO,431
159,0.13742843754414522,4237,2,5620107.532299741,3850,917468.8274722681,0,686.5535714285714,4125,4075.684210526316,4180,SANTIAGO SUR,1025
160,0.04121484255010747,4203,4,77382615.68982944,2620,255344040.8684273,0,1130.8920245398774,3388,2954.914454277286,3525,10MA UNIDAD REGIONAL LOS LAGOS,562
161,0.017439977018016237,4091,4,12325321.844978167,3175,289459.21779516013,0,309.31900452488685,3649,3403.625,3699,SANTIAGO CENTRO,1094
162,0.03301770712116746,4068,4,11684380.295906432,3213,3731499.9518190757,0,258.848635235732,3665,2877.8253968253966,3816,7MA UNIDAD REGIONAL MAULE,2702
163,0.028632915395435023,4032,3,11406525.573975045,3471,1750621.2375992064,0,268.7823834196891,3839,2625.274647887324,3890,5TA UNIDAD REGIONAL VALPARAISO,1892
164,0.06847749811851483,4030,27,33811941.504087195,3296,-9552838.694540942,0,769.1302325581395,3600,3618.1878048780486,3620,7MA UNIDAD REGIONAL MAULE,2196
165,0.030478702692148918,3985,1,13040639.446380697,3239,1386637.8288582184,0,335.9751552795031,3663,3165.2252964426875,3732,5TA UNIDAD REGIONAL VALPARAISO,2422
166,0.02025378748938015,3981,3,12115014.922867514,2879,18837426.22933936,0,402.66515151515154,3321,3153.7845036319613,3568,10MA UNIDAD REGIONAL LOS LAGOS,1550
167,0.050843142499162906,3974,0,3620986.8672985784,3552,-256581.27730246604,0,565.0459770114943,3887,2141.267441860465,3888,SANTIAGO SUR,303
168,0.025788411548504614,3955,0,8487961.501730103,3088,2355155.796965866,0,218.84112149532712,3527,2720.449275362319,3748,10MA UNIDAD REGIONAL LOS LAGOS,2105
169,0.02870162403231234,3946,3,13008246.62083781,3015,-1199670.313482007,0,624.2212389380531,3494,3997.345755693582,3463,8VA UNIDAD REGIONAL BIO BIO,844
170,0.04178791196403923,3942,3,3217989.90990991,3609,-338717.8962455606,0,669.2285714285714,3872,2737.6428571428573,3886,SANTIAGO SUR,479
171,0.029925044211349092,3852,1,10296804.4536862,3323,4492693.94755971,0,1720.1764705882354,3801,2690.296296296296,3798,SANTIAGO CENTRO,492
172,0.023353669714320215,3830,3,7897998.771802326,3142,17249399.74778068,0,477.73454545454547,3555,3154.722222222222,3650,7MA UNIDAD REGIONAL MAULE,1258
173,0.06169853128812917,3819,3,11990925.291563276,3013,412575.24797067296,0,837.8382687927107,3380,3119.0232558139537,3475,SANTIAGO PONIENTE,1196
174,0.028838580366443906,3805,1,15488694.76933896,3094,2291400.2220762153,0,846.4277456647399,3459,5158.308056872038,3383,8VA UNIDAD REGIONAL BIO BIO,1853
175,0.01989783493906512,3729,4,1284185.4069767443,3385,1052557.8063824081,0,1171.358208955224,3662,3065.576923076923,3703,SANTIAGO SUR,608
176,0.06845901182608112,3723,23,27586393.377588306,2902,94851.71447757185,0,624.2442588726514,3244,3069.6735537190084,3239,SANTIAGO SUR,742
177,0.047255840065920034,3651,11,17206066.435215946,2748,-2211212.5853190906,0,839.9468822170901,3218,1871.5317919075144,2959,2DA UNIDAD REGIONAL ANTOFAGASTA,2636
178,0.05018814580310677,3622,8,53468663.10904585,2815,25073850.199889563,0,791.3118644067797,3327,4421.83081570997,3291,SANTIAGO ORIENTE,806
179,0.025541187246704764,3558,3,1912757.6020408163,3362,240557.392074199,0,526.6896551724138,3529,2498.5454545454545,3536,SANTIAGO SUR,411
180,0.05305603746032329,3546,2,78055683.8033241,2824,13898821.577270163,0,194.69911504424778,3320,3925.353233830846,3345,8VA UNIDAD REGIONAL BIO BIO,640
181,0.08442658188523174,3520,4,7101254.523636363,2970,67387.92670454546,0,537.0336538461538,3312,3741.266666666667,3280,1RA UNIDAD REGIONAL IQUIQUE,1298
182,0.025375278932560426,3510,7,11068855.367272727,2960,38611240.71566951,0,302.4045454545454,3290,3473.8055555555557,3330,SANTIAGO CENTRO,711
183,0.029987560720297984,3362,2,21097253.39122807,2792,7709745.305770375,0,572.2528089887641,3184,4113.0329670329675,3089,7MA UNIDAD REGIONAL MAULE,1654
184,0.03396689332130654,3361,0,12480293.143548386,2741,1043827.2945551919,0,288.9908256880734,3143,3466.083969465649,3099,SANTIAGO ORIENTE,889
185,0.06551424375145742,3308,1,3909664.8099173554,2945,414260.6130592503,0,513.4615384615385,3230,2443.722891566265,3225,SANTIAGO CENTRO,437
186,0.03789715719231583,3296,2,7881675.241935484,2490,-649414.5761529126,0,414.04761904761904,2939,2650.8411764705884,2956,SANTIAGO CENTRO,547
187,0.05985536840142107,3278,1,51169072.41913439,2839,1351976.0424039047,0,1724.7142857142858,3166,3516.973821989529,3087,SANTIAGO CENTRO,443
188,0.0298762526955766,3275,6,55772771.85607009,2476,-10593840.782290077,0,1099.8854368932039,2760,2566.981443298969,2790,8VA UNIDAD REGIONAL BIO BIO,788
189,0.027704648672775452,3229,1,9033940.496644296,2782,1374995.7677299473,0,287.83522727272725,3053,2685.6907216494847,3132,3RA UNIDAD REGIONAL ATACAMA,2177
190,0.03757778599130242,3216,5,27627648.671619613,2543,-5349444.0289179105,0,1430.3320463320463,2957,3090.3297491039425,2937,4TA UNIDAD REGIONAL COQUIMBO,1025
191,0.02798375668991596,3093,9,15167989.001451379,2404,2175032.150662787,0,334.6936416184971,2747,2918.6989247311826,2814,SANTIAGO SUR,945
192,0.0243337545214663,3088,5,47688757.27008032,2092,-14674657.682642488,0,586.809375,2448,3108.7292069632495,2571,2DA UNIDAD REGIONAL ANTOFAGASTA,527
193,0.028326945631412293,3079,0,19706952.42138365,2602,1186233.367651835,0,473.1011904761905,2911,2851.573529411765,2943,SANTIAGO CENTRO,675
194,0.03988707553288046,3057,0,94727713.66760564,2702,-5861573.505397448,0,4219.611650485437,2954,3310.581818181818,2947,SANTIAGO SUR,542
195,0.0397247646443287,3011,1,8890829.821596244,2159,-9709692.103287945,0,169.7,2541,2182.9196428571427,2675,SANTIAGO SUR,721
196,0.02679658189686353,2950,1,17567350.314363144,2581,510174.34711864404,0,690.6622516556291,2799,3189.1104294478528,2787,SANTIAGO SUR,410
197,0.02391740823280512,2930,4,8665978.623501198,2513,835571.6805460751,0,5463.510416666667,2834,3193.7868852459014,2808,SANTIAGO ORIENTE,670
198,0.03130022890701533,2898,0,32987904.793733682,2515,-694445.9523809524,0,386.4407894736842,2746,3160.252427184466,2795,SANTIAGO PONIENTE,1193
199,0.04943624875068943,2895,1,5023561.506451613,2585,-593478.9122625216,0,987.1688311688312,2818,3946.212121212121,2796,SANTIAGO SUR,300
200,0.0241140415560691,2867,4,17447891.39873418,2393,1635269.293337984,0,349.048128342246,2680,3870.1420118343194,2698,SANTIAGO NORTE,579
201,0.03806628466365614,2831,2,19018207.81958763,2443,1240073.7820558106,0,681.7321428571429,2719,3619.280701754386,2717,8VA UNIDAD REGIONAL BIO BIO,497
202,0.034261557479023125,2731,0,8396454.861445783,2399,1004711.0080556573,0,1110.967741935484,2638,3286.2,2656,SANTIAGO SUR,429
203,0.0499536766369888,2692,0,82532663.35915492,2408,-8905494.10475483,0,6165.243902439024,2610,4566.793103448276,2634,4TA UNIDAD REGIONAL COQUIMBO,1172
204,0.02622375974205848,2601,6,6271007.108545034,2168,103196.0246059208,0,1346.343949044586,2444,1827.6574803149606,2347,SANTIAGO CENTRO,502
205,0.030174488449972493,2549,4,9363239.700440528,1868,2974449.3860337385,0,157.39370078740157,2168,3395.4811715481173,2310,7MA UNIDAD REGIONAL MAULE,1607
206,0.06260386265435756,2537,2,22736475.077363897,2188,-8522318.472999606,0,1295.872340425532,2443,3369.0123456790125,2456,SANTIAGO ORIENTE,408
207,0.15899002006581858,2529,1,18447833.53937008,2275,2049724.2281534204,0,4138.272727272727,2474,2395.214285714286,2459,SANTIAGO SUR,377
208,0.04205457876891766,2502,0,15237803.915601023,2111,-3626904.8649080736,0,851.1838235294117,2366,6103.096566523605,2036,SANTIAGO SUR,347
209,0.03324022647071383,2480,2,15405717.954545455,2106,-1552816.3064516129,0,1596.3223684210527,2328,2039.219387755102,2284,SANTIAGO SUR,444
210,0.05378425569642612,2466,8,9248314.156010231,2075,10740130.284671532,0,894.6428571428571,2284,4183.985221674877,2263,SANTIAGO PONIENTE,594
211,0.03420542505803872,2463,1,10410885.459259259,2193,-1809449.9301664636,0,1082.8059701492537,2396,3086.264150943396,2410,SANTIAGO SUR,488
212,0.06056551693475365,2392,17,24287194.059972107,1675,-2954615.7717391304,0,430.7203166226913,2013,4537.330383480826,2053,SANTIAGO NORTE,355
213,0.0294845138402172,2369,1,3606790.442804428,2098,709763.3271422541,0,212.6936936936937,2258,2869.551724137931,2282,9NA UNIDAD REGIONAL TEMUCO,895
214,0.032952596418240915,2333,2,13510178.87264151,1909,420291.41277325334,0,750.3981481481482,2117,4608.920454545455,2157,5TA UNIDAD REGIONAL VALPARAISO,252
215,0.03376136980130026,2319,0,22082535.975124378,2118,-3105083.143165157,0,2644.5434782608695,2273,3299.1071428571427,2263,SANTIAGO SUR,414
216,0.028338632858687107,2294,2,7935912.430508475,1999,628572.4995640803,0,285.8888888888889,2195,3104.641025641026,2216,4TA UNIDAD REGIONAL COQUIMBO,1029
217,0.028602537993738526,2274,2,15381178.55670103,1983,86972.16578715919,0,1071.5584415584415,2197,4266.515151515152,2208,SANTIAGO ORIENTE,324
218,0.05445083677292463,2242,14,9665640.9197995,1843,-1737564.5481712758,0,430.44144144144144,2020,4350.574712643678,2068,5TA UNIDAD REGIONAL VALPARAISO,1057
219,0.05059137403248918,2236,1,94269800.86343612,1782,2393167.404293381,0,221.47916666666666,2092,4107.596026490066,2085,SANTIAGO CENTRO,361
220,0.03995693886633949,2235,0,8611382.749244712,1904,1739106.5060402683,0,355.8636363636364,2015,4144.420454545455,2059,9NA UNIDAD REGIONAL TEMUCO,885
221,0.02793963915886423,2221,3,10538806.692810457,1609,915526.3115713643,0,227.0323275862069,1757,2413.2457002457004,1814,SANTIAGO SUR,1131
222,0.06414714023579039,2209,1,25366303.333333332,1840,-2874056.0665459484,0,1159.3248407643312,2052,3782.8947368421054,2057,7MA UNIDAD REGIONAL MAULE,419
224,0.11193568050352136,2196,1,10765062.784688994,1987,225705.55828779598,0,645.09375,2132,2505.2820512820513,2157,SANTIAGO SUR,218
223,0.04030948538791128,2196,2,65210328.571428575,1923,9273028.568761384,0,1509.7281553398059,2093,3399.3207547169814,2090,SANTIAGO PONIENTE,263
225,0.022990750336699863,2156,0,6937284.666666667,2153,80197.49304267162,0,6084.0,2154,3647.0,2154,SANTIAGO ORIENTE,22
226,0.0336930928967016,2149,5,7603385.618556701,1567,815629.6463471382,0,399.2747603833866,1836,2568.191616766467,1815,8VA UNIDAD REGIONAL BIO BIO,257
227,0.028883304705772783,2126,6,22711004.68831169,1664,-295217332.8621825,0,573.4213197969543,1929,3152.940476190476,1958,SANTIAGO ORIENTE,392
228,0.029089762746915066,2126,0,10357076.348441927,1773,2305348.899811853,0,387.0346153846154,1866,3912.513368983957,1939,9NA UNIDAD REGIONAL TEMUCO,716
229,0.037061903684633864,2113,12,29878723.58657244,1830,-28056447.911026977,0,3877.5151515151515,1981,4262.139534883721,1941,SANTIAGO ORIENTE,491
230,0.029027830315097168,2100,0,28427339.004807692,1892,-4434552.021904762,0,2312.5283018867926,2047,2243.4193548387098,2038,SANTIAGO SUR,421
231,0.047944386166898695,2088,1,20054695.733516484,1724,-859912.9137931034,0,762.5469613259669,1907,3402.275303643725,1841,5TA UNIDAD REGIONAL VALPARAISO,1212
232,0.06184844350546268,2086,4,5649471.012903226,1776,1034660.5038350911,0,308.2097902097902,1943,2472.768,1961,5TA UNIDAD REGIONAL VALPARAISO,905
233,0.04464149294612193,2073,3,33595640.32451923,1657,10299676.975880366,0,211.89208633093526,1934,4067.5704697986575,1924,SANTIAGO ORIENTE,576
234,0.060384283265915814,2069,5,344631728.01834863,1633,-39592469.68970517,0,163.49689440993788,1908,3400.858757062147,1892,SANTIAGO SUR,439
235,0.028598793181271207,2065,2,7927971.858823529,1470,105582.39951573849,0,1428.6108108108108,1880,3018.9891304347825,1789,SANTIAGO SUR,342
236,0.029917057618094326,2052,5,10837418.113744076,1630,-10897255.32748538,0,303.0570175438597,1824,2770.8,1887,SANTIAGO PONIENTE,398
237,0.033901865897306344,2049,0,2973038.6761363638,1873,308679.2201073695,0,1088.65,2009,3987.657894736842,2011,SANTIAGO SUR,367
238,0.031628808757300106,2044,1,25055059.089041095,1898,-1468470.233365949,0,1131.9782608695652,1998,5596.297872340426,1997,SANTIAGO CENTRO,228
239,0.04112980269653285,2024,1,31052268.257534247,1659,29658977.83498024,0,350.2823529411765,1854,4705.211678832116,1887,SANTIAGO ORIENTE,1010
240,0.03081698744330399,2015,4,27720513.568253968,1700,-4025808.223325062,0,1643.094017094017,1898,3252.485507246377,1877,SANTIAGO ORIENTE,353
241,0.04346734269600287,1983,2,64595169.38625593,1561,-299518.93242561776,0,183.15428571428572,1808,3420.3548387096776,1797,SANTIAGO ORIENTE,607
242,0.03824238034665174,1948,2,9649182.27436823,1671,-640937.9943531827,0,1233.1368421052632,1853,3509.7796610169494,1830,SANTIAGO ORIENTE,382
243,0.05808904787529928,1923,1,24759755.28166915,1252,-1855491.5127405096,0,462.1345646437995,1544,2791.9473684210525,1752,4TA UNIDAD REGIONAL COQUIMBO,951
244,0.03147714821700207,1911,1,43982259.598393574,1662,-4427345.084249084,0,1120.7727272727273,1845,3024.891891891892,1837,SANTIAGO CENTRO,429
245,0.03989791577773035,1901,1,39717909.10288066,1658,-252968.85691741187,0,485.68131868131866,1810,3364.3854166666665,1805,9NA UNIDAD REGIONAL TEMUCO,158
246,0.04545900938491328,1885,3,78772229.10674158,1707,49130076.27798408,0,739.9512195121952,1803,4822.351351351352,1811,10MA UNIDAD REGIONAL LOS LAGOS,572
247,0.03680103455888625,1835,0,15426532.34368932,1320,1773582.0790190736,0,789.3807829181495,1554,5949.405194805195,1450,5TA UNIDAD REGIONAL VALPARAISO,954
248,0.041088207531692796,1810,3,3955894.212669683,1589,34381.3408839779,0,1599.952380952381,1768,1787.0714285714287,1726,SANTIAGO SUR,271
249,0.030660302528750672,1802,0,29425958.460251044,1563,10150591.727524972,0,2636.151515151515,1736,3872.265060240964,1719,SANTIAGO CENTRO,269
250,0.06825312300563932,1783,0,8689266.894557822,1489,581845.7919237241,0,356.52,1683,3379.138613861386,1682,SANTIAGO ORIENTE,453
251,0.04690283084081842,1781,1,73167433.02,1381,157932345.10387424,0,901.1096774193549,1626,3325.358139534884,1566,SANTIAGO ORIENTE,420
252,0.05284119823909976,1742,0,2062020.90625,1614,289609.7175660161,0,502.55882352941177,1708,2870.6666666666665,1724,5TA UNIDAD REGIONAL VALPARAISO,194
253,0.0294618736616608,1726,4,15904579.932384342,1445,4567748.469293163,0,546.4166666666666,1654,4285.652173913043,1634,8VA UNIDAD REGIONAL BIO BIO,338
254,0.04837685050751536,1716,1,71219705.52657005,1509,36394849.74941725,0,2358.2063492063494,1653,4264.18,1666,SANTIAGO SUR,438
255,0.07239545888997961,1691,1,35458666.855704695,1393,-2263397.575990538,0,409.67605633802816,1549,3581.1901840490796,1528,5TA UNIDAD REGIONAL VALPARAISO,625
256,0.03176643659977062,1669,0,15238591.341614908,1508,-3115464.467345716,0,2030.8333333333333,1609,3814.061224489796,1620,SANTIAGO SUR,133
257,0.03239375295390121,1624,0,25899781.75985663,1345,-6543995.716133005,0,1820.1122448979593,1526,4209.295652173913,1509,SANTIAGO ORIENTE,313
258,0.08376690929296997,1611,20,4102050.438413361,653,-4760649.236499069,0,115.2208904109589,1027,1282.431105047749,878,SANTIAGO ORIENTE,171
259,0.028490241903132492,1585,1,13216170.367521368,1351,-328672.9760252366,0,690.7403846153846,1481,3881.15873015873,1522,6TA UNIDAD REGIONAL RANCAGUA,714
260,0.02493402732902268,1579,1,80279513.3773585,1367,-15026240.66687777,0,1599.3589743589744,1501,5087.244897959184,1481,1RA UNIDAD REGIONAL IQUIQUE,171
261,0.024832000546428656,1560,1,55124314.34068628,1152,-19946647.012179486,0,903.7512195121951,1355,3421.601063829787,1372,SANTIAGO ORIENTE,401
263,0.03829203260731357,1528,0,37314135.427083336,1432,649164.7990837697,0,1768.6451612903227,1497,5430.392857142857,1500,2DA UNIDAD REGIONAL ANTOFAGASTA,696
262,0.01788278599338485,1528,0,15283828.220973782,1261,1849788.9280104712,0,745.8064516129032,1435,3934.879120879121,1437,SANTIAGO ORIENTE,369
264,0.027670545611620963,1520,1,9715152.87745098,1316,444836.4953947368,0,901.9464285714286,1464,3212.9824561403507,1463,SANTIAGO CENTRO,390
265,0.04669457959415708,1512,2,59012583.36363637,1204,9087541.083994709,0,322.3255813953488,1383,4024.723880597015,1378,SANTIAGO SUR,406
266,0.03208288978385535,1505,0,1146676.5443037974,1347,479668.52558139537,0,3509.0,1495,2080.5714285714284,1498,SANTIAGO CENTRO,217
267,0.029122080359005303,1483,0,117863389.5263158,1331,-12926097.541469993,0,2798.3972602739727,1410,4467.815789473684,1407,5TA UNIDAD REGIONAL VALPARAISO,242
268,0.03555293627978057,1480,3,77901551.18729097,1181,-10565834.706081081,0,8771.760736196318,1317,2875.8025477707006,1323,SANTIAGO SUR,399
269,0.03329777165242173,1465,3,10531657.890052356,1274,-2268708.3317406145,0,507.2903225806452,1403,3297.035714285714,1409,SANTIAGO ORIENTE,322
270,0.03030985854380289,1455,1,101321872.76097561,1250,-7749964.224054983,0,946.8666666666667,1380,4878.4,1310,6TA UNIDAD REGIONAL RANCAGUA,387
271,0.03678669793229365,1452,0,12841247.612244898,1354,-772710.4772727273,0,478.6279069767442,1409,3160.0454545454545,1430,7MA UNIDAD REGIONAL MAULE,285
272,0.02521428013610124,1447,0,8805796.6,1342,1009173.9094678645,0,153.35802469135803,1366,5907.924822695036,37,SANTIAGO PONIENTE,366
273,0.0919203658533606,1405,0,21952381.591715977,1236,-1844690.7914590747,0,882.3846153846154,1366,3428.0697674418607,1362,5TA UNIDAD REGIONAL VALPARAISO,315
274,0.03286781114371571,1385,1,3586065.603896104,1231,630816.6880866427,0,1121.054054054054,1348,3071.8214285714284,1357,SANTIAGO PONIENTE,231
275,0.05039904497584317,1373,1,228549511.2159091,1021,62409644.06919155,0,205.992700729927,1236,3271.2375690607737,1192,8VA UNIDAD REGIONAL BIO BIO,303
276,0.028219639571665914,1373,0,7773882.069767442,900,1832831.9803350328,0,334.3198757763975,1051,3260.3497757847535,1150,9NA UNIDAD REGIONAL TEMUCO,620
277,0.04821263660725014,1359,2,17666095.033492822,1150,3098971.46799117,0,2805.7735849056603,1306,3874.890625,1295,SANTIAGO ORIENTE,302
278,0.028415576437067044,1350,0,18567854.788844623,1099,2079861.5948148149,0,255.15384615384616,1233,3138.3636363636365,1284,SANTIAGO SUR,485
279,0.04627704126397788,1346,1,467866144.07392997,1089,17292763.243684992,0,2969.4108527131784,1217,3119.7936507936506,1220,SANTIAGO PONIENTE,303
280,0.06183893727572374,1338,0,21816761.39516129,1214,1631562.8871449926,0,257.780487804878,1297,3522.2444444444445,1293,5TA UNIDAD REGIONAL VALPARAISO,137
281,0.03679023250409437,1334,4,95050591.41694915,1039,413273.80584707647,0,383.56390977443607,1201,4279.1375,1174,SANTIAGO ORIENTE,356
282,0.031856500026613346,1334,1,18043207.807692308,1178,9857035.685907047,0,1508.2758620689656,1276,4252.702127659574,1287,7MA UNIDAD REGIONAL MAULE,225
283,0.09088536304297244,1318,1,75126678.57976654,1061,-2853485.6608497724,0,213.12,1243,3884.764705882353,1250,7MA UNIDAD REGIONAL MAULE,291
284,0.03028181471301616,1317,1,26097849.552941177,1147,-1447773.1556567957,0,3527.3333333333335,1275,4369.5625,1269,SANTIAGO ORIENTE,346
285,0.04610851561230997,1312,0,4584728.810606061,1180,554278.4237804879,0,527.1346153846154,1260,2498.53125,1280,6TA UNIDAD REGIONAL RANCAGUA,382
286,0.024598135953066907,1287,2,9045801.793333333,1137,-3879161.390831391,0,2308.1666666666665,1251,4800.5625,1239,SANTIAGO CENTRO,211
287,0.19254157872920938,1270,1,9683113.72907489,816,-8220774.95511811,0,625.8196721311475,1148,3434.509316770186,1109,SANTIAGO CENTRO,252
288,0.029683401106829887,1269,2,10270797.5,1099,739156.3585500394,0,359.4264705882353,1201,3745.6825396825398,1206,SANTIAGO PONIENTE,270
289,0.04418892185750584,1269,1,31039788.67052023,1096,-17102627.86288416,0,11812.845238095239,1185,3451.660714285714,1213,3RA UNIDAD REGIONAL ATACAMA,639
290,0.029013170316000526,1268,0,6835361.652173913,1084,-538438.6356466877,0,1297.8,1228,6765.7962962962965,1214,SANTIAGO ORIENTE,283
291,0.10098190589212412,1238,30,185772506.92739275,632,-379702564.10016155,0,1118.9176829268292,910,3299.728,738,8VA UNIDAD REGIONAL BIO BIO,217
292,0.027451864936155732,1218,0,13412918.701492537,1084,279498.61247947457,0,431.26666666666665,1188,4422.434782608696,1195,SANTIAGO SUR,205
293,0.04420554328651984,1206,0,21282100.666666668,1104,614082.288557214,0,854.1290322580645,1175,4300.95744680851,1159,SANTIAGO SUR,322
294,0.022557501134399423,1186,2,60384296.969325155,1023,-9425440.295952782,0,1549.9310344827586,1128,3948.0384615384614,1134,8VA UNIDAD REGIONAL BIO BIO,109
