comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
483,0.024872808217654273,4,0,518023.5,2,7352.75,0,5.0,3,566.0,3,1RA UNIDAD REGIONAL IQUIQUE,2
474,0.0229346656023904,4,0,3556689.0,3,-735153.5,0,100.0,3,1249.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,1
482,0.01714239725728195,4,0,3531001.0,3,7110969.75,0,6.0,3,3819.5,2,6TA UNIDAD REGIONAL RANCAGUA,4
478,0.02115034539996208,4,0,133690.0,3,19217.5,0,5.0,3,1155.0,3,7MA UNIDAD REGIONAL MAULE,3
469,0.02045145471477255,4,0,585384.0,3,315545.75,0,28.0,3,1994.0,3,SANTIAGO SUR,3
480,0.022410053008832573,4,0,0.0,2,1555889.5,0,16.0,3,1130.0,3,SANTIAGO PONIENTE,2
464,0.0264720126860483,4,0,122571.0,3,539182.5,0,13.0,3,1049.0,3,SANTIAGO PONIENTE,4
475,0.02219044860559105,4,0,99992.0,2,780829.25,0,62.5,2,2394.0,3,SANTIAGO ORIENTE,2
467,0.034185146371237374,4,0,0.0,3,589679.25,0,26.0,3,1666.0,3,SANTIAGO PONIENTE,2
488,0.75,4,3,203405.75,0,-43481895.25,0,35.5,0,1451.25,0,6TA UNIDAD REGIONAL RANCAGUA,4
484,0.9943480449723723,4,2,0.0,3,-29885673.0,0,24.5,2,693.0,2,SANTIAGO CENTRO,1
485,0.09015344901457632,4,0,1400906.0,3,14220.0,0,16.0,3,631.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,3
468,0.0,4,0,5242868.666666667,1,-840513.75,0,16.0,3,2833.25,0,SANTIAGO ORIENTE,4
528,0.5,3,1,0.0,0,-8304161.666666667,0,5.0,0,1673.5,1,7MA UNIDAD REGIONAL MAULE,3
491,0.019673044511983498,3,0,10272911.0,2,-2255501.3333333335,0,43.0,2,665.0,2,1RA UNIDAD REGIONAL IQUIQUE,2
490,0.013774756501024067,3,0,5394031.0,2,-2890806.0,0,563.0,2,1239.0,2,SANTIAGO SUR,2
526,0.013969870360665666,3,0,5652859.0,2,5094175.0,0,50.0,2,2386.0,2,SANTIAGO NORTE,2
502,0.014633590711344601,3,0,5344696.0,2,397184.6666666667,0,90.0,2,,3,5TA UNIDAD REGIONAL VALPARAISO,3
533,0.0167366839360817,3,0,45194.0,2,42438.0,0,18.0,2,1291.0,2,6TA UNIDAD REGIONAL RANCAGUA,2
518,0.0176010204320115,3,0,2746.0,2,14286.666666666666,0,5.0,2,608.0,2,10MA UNIDAD REGIONAL LOS LAGOS,1
499,0.18257464725967912,3,0,12567437.0,2,-2536101.6666666665,0,32.0,2,1177.0,2,SANTIAGO SUR,3
494,0.009119888267700634,3,0,398246.0,1,13964561.0,0,19.5,1,2402.5,1,8VA UNIDAD REGIONAL BIO BIO,2
495,0.062086405757250364,3,0,0.0,2,83733.0,0,3.0,2,1038.0,2,9NA UNIDAD REGIONAL TEMUCO,3
532,0.012343610435824534,3,0,0.0,1,99970.66666666667,0,4.0,2,1198.0,2,7MA UNIDAD REGIONAL MAULE,2
493,0.013273630808249665,3,0,246680.0,2,31993.0,0,24.0,2,1164.0,2,7MA UNIDAD REGIONAL MAULE,2
524,0.023590017263000734,3,0,34011.0,2,159665.66666666666,0,3.0,2,868.0,2,3RA UNIDAD REGIONAL ATACAMA,1
508,0.023906558082991535,3,0,0.0,2,8911768.0,0,17.0,2,2020.0,1,SANTIAGO PONIENTE,2
498,0.0242460273350262,3,0,864208.0,2,89947.33333333333,0,4.0,2,603.0,2,SANTIAGO CENTRO,1
520,0.02478632048749003,3,0,0.0,2,2154778.0,0,15.0,2,1112.0,2,SANTIAGO ORIENTE,2
522,0.056875404789025565,3,0,14430344.0,2,-104840.0,0,11.0,2,1806.0,2,SANTIAGO CENTRO,1
536,0.046738424630390796,3,0,89092407.0,2,-31934809.0,0,59.0,2,3360.0,2,SANTIAGO PONIENTE,2
497,0.0419476310608404,3,0,0.0,2,315011.3333333333,0,3.0,2,1092.0,2,SANTIAGO ORIENTE,1
492,0.0103523385522003,3,0,5617135.0,1,-877411.0,0,47.5,1,1137.0,2,8VA UNIDAD REGIONAL BIO BIO,3
514,2.501232914433196e-05,3,0,6986771.333333333,0,-2359985.0,0,98.0,2,3868.0,0,SANTIAGO CENTRO,2
506,0.0011815439985309,3,0,0.0,2,386530.6666666667,0,2.0,2,12439.0,2,5TA UNIDAD REGIONAL VALPARAISO,3
537,1.0,3,3,137492.0,0,-26469029.666666668,0,54.0,0,1784.6666666666667,0,SANTIAGO NORTE,1
541,0.0,3,0,2688067.0,2,-119615.0,0,82.0,2,,3,9NA UNIDAD REGIONAL TEMUCO,1
539,0.0,3,0,1266.6666666666667,0,0.0,0,2.0,0,1216.0,0,SANTIAGO CENTRO,1
538,0.0,3,0,16081808.0,2,-87246.0,0,32.0,2,2306.0,2,19NA UNIDAD REGIONAL DE LOS RIOS,2
534,0.0,3,0,0.0,2,652252.6666666666,0,2.5,1,6424.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
531,0.0,3,0,3129397.0,2,-525108.0,0,21.0,2,7800.0,2,SANTIAGO CENTRO,2
529,0.0,3,0,47500.0,2,21252.666666666668,0,2.0,2,1305.0,2,5TA UNIDAD REGIONAL VALPARAISO,2
516,0.05191045334400499,3,0,0.0,2,490415.6666666667,0,2.0,2,988.0,2,7MA UNIDAD REGIONAL MAULE,1
510,0.0,3,0,0.0,2,734997.0,0,7.0,2,2480.0,2,2DA UNIDAD REGIONAL ANTOFAGASTA,3
511,0.0020041437493935666,3,0,582929.3333333334,0,-8850133.666666666,0,17.0,0,1427.6666666666667,0,10MA UNIDAD REGIONAL LOS LAGOS,3
505,0.019699365008956266,3,0,0.0,2,2347250.0,0,31.0,2,1871.0,2,8VA UNIDAD REGIONAL BIO BIO,2
515,0.020799812145712932,3,0,180891.0,2,250051.33333333334,0,5.0,2,840.0,2,5TA UNIDAD REGIONAL VALPARAISO,2
521,0.022026912753041267,3,0,207635.0,2,185003.0,0,4.0,2,1191.0,2,9NA UNIDAD REGIONAL TEMUCO,2
509,0.022161509950277564,3,0,1452517.0,2,117836.66666666667,0,21.0,2,930.0,2,SANTIAGO PONIENTE,2
489,0.022880669367237132,3,0,0.0,2,1272373.6666666667,0,5.0,2,1058.0,2,8VA UNIDAD REGIONAL BIO BIO,1
501,0.0369375375877567,3,0,0.0,2,8388130.666666667,0,117.0,2,7430.0,2,SANTIAGO ORIENTE,1
500,0.0320048529765393,3,0,4933934.0,2,-2228663.3333333335,0,52.0,2,2033.0,2,SANTIAGO ORIENTE,1
527,0.0,3,0,163188.0,2,9242.0,0,4.0,2,1718.0,2,9NA UNIDAD REGIONAL TEMUCO,2
503,0.6666666666666666,3,2,0.0,0,-21440690.0,0,9.0,0,1696.3333333333333,0,7MA UNIDAD REGIONAL MAULE,2
540,0.6666666666666666,3,2,8867677.333333334,0,-13009639.666666666,0,24.666666666666668,0,1813.6666666666667,0,SANTIAGO NORTE,1
525,0.9999949137369791,3,1,106804.0,0,-24693796.333333332,0,13.0,0,1989.6666666666667,0,11RA UNIDAD REGIONAL COYHAIQUE,1
519,0.5579907115672492,3,1,13224888.666666666,0,-30053120.333333332,0,58.0,0,2422.3333333333335,0,1RA UNIDAD REGIONAL IQUIQUE,3
507,1.0,3,3,26891.0,2,-16805562.333333332,0,17.666666666666668,0,1491.0,2,10MA UNIDAD REGIONAL LOS LAGOS,2
512,1.0,3,3,,3,-24447714.666666668,0,13.0,0,1626.5,1,8VA UNIDAD REGIONAL BIO BIO,2
530,0.025849293816761137,3,0,12169067.0,2,-2749485.6666666665,0,23.0,2,3172.0,2,8VA UNIDAD REGIONAL BIO BIO,3
523,1.0000116242883608,3,3,85817.66666666667,0,-13751831.333333334,0,17.333333333333332,0,466.3333333333333,0,Sin Moda,0
517,0.0256727658054148,3,0,1510182.0,2,-732697.6666666666,0,51.0,2,4779.0,2,1RA UNIDAD REGIONAL IQUIQUE,2
535,1.0,3,3,,3,-12085064.666666666,0,65.0,0,1550.0,0,8VA UNIDAD REGIONAL BIO BIO,3
504,0.025266056782411162,3,0,4327734.666666667,0,-3797448.3333333335,0,23.0,0,1704.0,2,4TA UNIDAD REGIONAL COQUIMBO,3
513,0.025221828536408832,3,0,848122.0,2,205831.0,0,34.0,2,2502.0,2,5TA UNIDAD REGIONAL VALPARAISO,3
496,0.025039917676045503,3,0,9216169.5,1,-8322954.0,0,59.5,1,1911.5,1,19NA UNIDAD REGIONAL DE LOS RIOS,3
714,0.0,2,0,0.0,1,31005.5,0,3.0,1,1835.0,1,SANTIAGO CENTRO,1
605,0.0,2,0,4049909.0,0,-6869750.5,0,32.0,1,1041.0,0,SANTIAGO SUR,2
607,0.0,2,0,0.0,0,45015.5,0,3.0,1,6909.5,0,SANTIAGO CENTRO,2
608,0.0,2,0,198284.0,0,1940.5,0,38.0,1,6773.5,0,2DA UNIDAD REGIONAL ANTOFAGASTA,1
617,0.0,2,0,79832.0,1,232620.5,0,1.0,1,2912.0,1,7MA UNIDAD REGIONAL MAULE,1
653,1.0,2,2,156376.0,1,-79371.0,0,14.0,1,1590.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
606,1.0,2,2,76470.0,0,-17373829.0,0,43.0,0,1788.5,0,SANTIAGO CENTRO,1
578,1.0,2,2,2307216.5,0,-7875643.0,0,21.0,0,1764.0,0,SANTIAGO ORIENTE,2
715,1.0,2,2,505465.0,0,-95941309.0,0,46.5,0,1224.5,0,7MA UNIDAD REGIONAL MAULE,2
683,1.0,2,2,0.0,0,-26051274.5,0,15.0,0,1190.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
690,1.0,2,2,0.0,0,-89574042.5,0,23.5,0,1646.0,1,8VA UNIDAD REGIONAL BIO BIO,2
695,1.0,2,1,,2,-20343657.0,0,54.0,1,862.0,0,SANTIAGO ORIENTE,1
611,0.0,2,0,2864500.0,1,124812.5,0,56.0,1,2184.0,1,SANTIAGO PONIENTE,2
632,0.0,2,0,107374.5,0,-92285.0,0,16.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2
563,1.0,2,1,,2,-20916046.0,0,13.5,0,977.0,0,SANTIAGO CENTRO,2
633,0.0,2,0,136800.0,1,1617475.0,0,1.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2
620,0.0,2,0,4662184.0,1,1898403.0,0,1.0,1,2814.0,1,SANTIAGO ORIENTE,2
602,0.0,2,0,89911.0,1,94256.5,0,1.0,1,,2,6TA UNIDAD REGIONAL RANCAGUA,1
604,0.0,2,0,32465.0,1,-7850.5,0,4.0,1,1087.0,1,SANTIAGO NORTE,2
623,0.00115758710459195,2,0,0.0,0,369935.5,0,3.0,1,2480.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
621,0.00112703869728605,2,0,0.0,1,421236.0,0,3.0,1,1856.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
559,0.00107311047232075,2,0,0.0,1,2137902.0,0,1.0,1,1659.0,1,9NA UNIDAD REGIONAL TEMUCO,1
709,0.0009793310474533,2,0,191576.0,0,10617.5,0,1.0,1,6198.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
542,0.0009391112702133,2,0,870345.0,0,-2187581.0,0,5.5,0,4046.0,1,7MA UNIDAD REGIONAL MAULE,2
662,0.0007184400063063,2,0,561096.0,0,-19386.5,0,5.5,0,2143.0,0,10MA UNIDAD REGIONAL LOS LAGOS,1
555,0.00064330176394295,2,0,666727.5,0,24004.0,0,2.0,1,618.5,0,5TA UNIDAD REGIONAL VALPARAISO,1
618,0.0,2,0,4272122.0,1,-3271918.0,0,4.0,1,,2,7MA UNIDAD REGIONAL MAULE,2
609,0.0,2,0,776381.5,0,-660790.0,0,71.5,0,1918.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
657,0.0,2,0,,2,0.0,0,1.0,1,2310.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
729,0.0,2,0,1025.0,0,-9101908.0,0,11.0,0,1601.5,0,SANTIAGO CENTRO,1
730,0.0,2,0,37891.0,0,1189.5,0,1.0,1,692.0,1,SANTIAGO SUR,2
601,0.0,2,0,11400.0,1,0.0,0,1.0,1,599.5,0,4TA UNIDAD REGIONAL COQUIMBO,2
656,0.0,2,0,0.0,0,-27799447.0,0,100.0,1,1703.0,0,SANTIAGO CENTRO,2
655,0.0,2,0,1026.0,0,503066.5,0,5.0,1,1029.5,0,8VA UNIDAD REGIONAL BIO BIO,1
612,0.0,2,0,590520.0,1,9232.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2
713,0.0,2,0,0.0,0,-4969869.5,0,44.0,0,974.0,1,SANTIAGO CENTRO,1
613,0.0,2,0,21783899.0,0,-16261286.0,0,3.0,1,3005.5,0,SANTIAGO ORIENTE,2
614,0.0,2,0,37893.0,1,0.0,0,2.0,1,10150.5,0,5TA UNIDAD REGIONAL VALPARAISO,2
719,1.0,2,1,0.0,0,34600708.5,0,7.0,0,1862.5,0,SANTIAGO CENTRO,1
615,0.0,2,0,488696.0,0,332926.0,0,17.0,1,,2,1RA UNIDAD REGIONAL IQUIQUE,2
616,0.0,2,0,3495379.0,1,42403.5,0,35.0,1,3936.0,0,SANTIAGO CENTRO,2
634,0.0,2,0,7799449.0,1,-9547314.5,0,11.0,1,1954.0,1,8VA UNIDAD REGIONAL BIO BIO,1
712,0.0,2,0,0.0,1,0.0,0,1.0,1,1980.5,0,3RA UNIDAD REGIONAL ATACAMA,2
603,0.0,2,0,0.0,0,-683716.0,0,3.0,1,950.5,0,8VA UNIDAD REGIONAL BIO BIO,1
731,0.0,2,0,427920.0,1,138990.5,0,10.0,1,1707.0,1,21VA DIRECCION REGIONAL CHILLAN,2
707,0.0,2,0,264436832.0,1,-232179547.5,0,380.0,1,3107.0,1,8VA UNIDAD REGIONAL BIO BIO,2
706,0.0,2,0,576520.0,0,-143379.0,0,3.0,0,1291.5,0,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
679,0.0,2,0,0.0,1,2069272.0,0,1.0,1,1382.0,1,8VA UNIDAD REGIONAL BIO BIO,2
693,0.0,2,0,0.0,1,23349.0,0,1.0,1,1994.0,1,SANTIAGO CENTRO,2
694,0.0,2,0,4674976.0,1,-1337223.5,0,8.0,1,6446.0,1,9NA UNIDAD REGIONAL TEMUCO,2
549,0.0,2,0,3406461.0,1,-1110079.5,0,25.0,1,5062.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,2
550,0.0,2,0,2015.0,1,46549.0,0,2.0,1,1170.0,1,12MA UNIDAD REGIONAL MAGALLANES,2
551,0.0,2,0,317349.0,1,23804.5,0,2.0,1,884.0,1,SANTIAGO CENTRO,1
680,0.0,2,0,161996.5,0,159486.0,0,4.0,1,1975.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
681,0.0,2,0,3495379.0,1,156750.0,0,35.0,1,3936.0,0,SANTIAGO CENTRO,2
682,0.0,2,0,32848.0,1,1130.5,0,7.0,1,1210.0,1,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
600,2.7583366918893167e-05,2,0,0.0,1,16795782.5,0,2.0,1,3752.0,1,SANTIAGO ORIENTE,2
685,0.0,2,0,0.0,1,551345.5,0,12.0,1,1206.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,1
686,0.0,2,0,17899.0,1,-1461789.0,0,14.0,1,1580.0,1,4TA UNIDAD REGIONAL COQUIMBO,1
687,0.0,2,0,104932.0,1,51540.5,0,4.0,1,1351.5,0,6TA UNIDAD REGIONAL RANCAGUA,2
