comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
566,0.0,2,0,2395.0,1,5588.0,0,1.0,1,418.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,1
642,0.0,2,0,239496.0,1,124060.0,0,1.0,1,11374.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
678,0.0,2,0,299703.0,1,12686.5,0,5.0,1,2397.0,1,SANTIAGO CENTRO,1
677,0.0,2,0,0.0,1,104804.5,0,2.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2
670,0.0,2,0,0.0,1,-4109418.0,0,3.0,0,1291.0,1,SANTIAGO ORIENTE,1
726,0.0,2,0,250800.0,0,49670.5,0,1.0,1,1549.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
727,0.0,2,0,798319.0,1,1044657.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,1
728,0.0,2,0,313826.0,1,-594055.0,0,50.0,1,3198.0,0,5TA UNIDAD REGIONAL VALPARAISO,2
684,0.0,2,0,0.0,1,0.0,0,1.0,1,3418.0,1,1RA UNIDAD REGIONAL IQUIQUE,1
571,1.0,2,2,0.0,0,-2500121.0,0,4.5,0,456.0,0,Sin Moda,0
565,1.0,2,2,,2,-23476047.5,0,76.0,1,1546.5,0,8VA UNIDAD REGIONAL BIO BIO,2
644,1.0,2,2,0.0,0,-59971472.5,0,6.0,0,2335.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
705,0.0,2,0,515494.0,1,63907.0,0,3.0,1,5327.0,0,SANTIAGO NORTE,2
688,0.0,2,0,169697.5,0,-159675.5,0,18.0,1,1280.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
696,0.0,2,0,3887.0,1,72751.5,0,257.0,1,2695.0,1,SANTIAGO CENTRO,2
716,0.0,2,0,142.5,0,0.0,0,1.0,1,614.0,0,SANTIAGO ORIENTE,1
552,0.0,2,0,0.0,1,114234.5,0,13.0,1,4011.0,0,9NA UNIDAD REGIONAL TEMUCO,2
553,0.0,2,0,0.0,1,371243.5,0,1.0,1,975.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
556,0.0,2,0,3535893.0,1,-1386018.5,0,16.0,1,,2,SANTIAGO ORIENTE,2
557,0.0,2,0,0.0,1,-1161850.0,0,6.5,0,1257.5,0,9NA UNIDAD REGIONAL TEMUCO,2
708,0.0,2,0,77682.0,0,-31064.0,0,7.5,0,1010.0,0,1RA UNIDAD REGIONAL IQUIQUE,2
659,0.9999923706054688,2,1,0.0,1,-11981840.0,0,24.0,1,5558.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
702,0.0,2,0,470918.0,1,304379.5,0,14.0,1,,2,7MA UNIDAD REGIONAL MAULE,1
700,0.0,2,0,2262675.5,0,2796.5,0,2.0,1,3517.0,0,SANTIAGO ORIENTE,2
699,0.0,2,0,3291768.0,1,-42403.5,0,36.0,1,3936.0,0,SANTIAGO CENTRO,2
562,0.0,2,0,5084135.0,0,-7218648.0,0,51.0,1,2153.5,0,7MA UNIDAD REGIONAL MAULE,1
717,0.0,2,0,1531739.0,1,73174.5,0,1.0,1,,2,21VA DIRECCION REGIONAL CHILLAN,1
567,0.0,2,0,2021.0,0,-7437510.0,0,30.0,0,1573.0,0,SANTIAGO CENTRO,1
724,1.0,2,1,0.0,0,-11388400.0,0,33.0,1,1898.0,1,SANTIAGO ORIENTE,2
689,0.0,2,0,1201927.5,0,16635.0,0,35.0,1,5236.0,1,SANTIAGO CENTRO,1
691,0.0,2,0,537124.0,1,-352666.5,0,14.0,1,,2,1RA UNIDAD REGIONAL IQUIQUE,1
692,0.0,2,0,93619.5,0,-14554012.5,0,35.0,1,2055.0,0,SANTIAGO NORTE,1
560,0.0,2,0,1024521.0,1,209703.0,0,1.0,1,,2,9NA UNIDAD REGIONAL TEMUCO,2
654,0.0,2,0,395335.0,1,-248678.0,0,40.0,1,,2,6TA UNIDAD REGIONAL RANCAGUA,2
732,0.0,2,0,0.0,1,18087.0,0,2.0,1,1035.0,1,3RA UNIDAD REGIONAL ATACAMA,1
652,0.0,2,0,38102.0,1,-5929319.5,0,1522.0,1,2352.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
638,0.0,2,0,190108.0,1,-137248.0,0,2.0,1,2572.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
651,0.0,2,0,209000.0,0,40175.5,0,2.0,1,5947.0,0,4TA UNIDAD REGIONAL COQUIMBO,1
650,0.0,2,0,358307.0,1,-50586.5,0,2.0,1,4119.0,1,SANTIAGO NORTE,1
649,0.0,2,0,30690.0,1,-169288.5,0,3.0,1,,2,10MA UNIDAD REGIONAL LOS LAGOS,2
647,0.0,2,0,,2,-2043450.0,0,43.0,1,1908.5,0,8VA UNIDAD REGIONAL BIO BIO,2
573,0.0,2,0,7434700.0,1,-95000.0,0,39.0,1,5827.0,0,SANTIAGO ORIENTE,2
543,0.09852515696970715,2,0,694796.0,0,-16415.0,0,5.0,0,741.0,1,SANTIAGO PONIENTE,2
594,0.0731896919328699,2,0,2446576.0,1,-1203424.5,0,46.0,1,1092.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
582,0.0,2,0,127378.0,1,-93464.0,0,17.0,1,2233.0,1,4TA UNIDAD REGIONAL COQUIMBO,2
725,0.0,2,0,0.0,1,-2748151.0,0,7.0,0,1587.0,0,9NA UNIDAD REGIONAL TEMUCO,2
673,0.0,2,0,0.0,1,850103.0,0,11.0,1,2521.0,1,7MA UNIDAD REGIONAL MAULE,1
674,0.0,2,0,146341.0,1,1044214.5,0,135.0,1,1376.0,1,SANTIAGO PONIENTE,2
675,0.0,2,0,914064.0,1,-202523.5,0,3.0,1,,2,SANTIAGO CENTRO,1
704,0.0,2,0,0.0,1,4532.5,0,2.0,1,2878.0,1,7MA UNIDAD REGIONAL MAULE,2
569,0.0,2,0,3671.0,0,-329068.0,0,2.5,0,591.0,0,SANTIAGO SUR,2
570,0.0,2,0,4750.0,1,2072.0,0,5.0,1,1318.0,1,6TA UNIDAD REGIONAL RANCAGUA,1
703,0.0,2,0,285705.0,0,-146593.5,0,11.0,1,1401.0,1,SANTIAGO NORTE,1
676,0.0,2,0,3176132.0,1,8122.5,0,12.0,1,4845.5,0,SANTIAGO ORIENTE,2
718,0.0,2,0,0.0,0,72804.5,0,1.0,1,1107.0,0,1RA UNIDAD REGIONAL IQUIQUE,2
720,0.0,2,0,0.0,0,0.0,0,2.0,1,857.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
721,0.0,2,0,0.0,1,0.0,0,1.0,1,5111.0,1,7MA UNIDAD REGIONAL MAULE,2
723,0.0,2,0,0.0,1,-1148335.0,0,39.0,1,1063.0,1,SANTIAGO CENTRO,1
547,0.0,2,0,2005458.0,1,-2409553.0,0,97.0,1,1298.0,1,8VA UNIDAD REGIONAL BIO BIO,2
545,1.0,2,1,,2,-8507060.0,0,39.0,1,862.0,0,SANTIAGO CENTRO,1
671,0.0,2,0,0.0,0,180412.0,0,27.0,1,,2,21VA DIRECCION REGIONAL CHILLAN,2
658,0.0,2,0,2378170.0,1,7067641.5,0,11.0,1,988.0,1,2DA UNIDAD REGIONAL ANTOFAGASTA,1
669,0.0,2,0,791339.0,0,33266.0,0,3.0,1,3964.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
667,0.0,2,0,3800.0,1,0.0,0,1.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2
665,0.0,2,0,695091.0,1,-269073.0,0,14.0,1,2418.5,0,3RA UNIDAD REGIONAL ATACAMA,2
663,0.0,2,0,144254.0,1,-55348.5,0,7.0,1,1953.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
661,0.0,2,0,155225.0,1,46056.0,0,3.0,1,,2,SANTIAGO PONIENTE,1
660,0.0,2,0,61293.0,1,735257.0,0,1.0,1,1238.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
636,0.0,2,0,188783.0,1,19394.5,0,1.0,1,7650.0,1,7MA UNIDAD REGIONAL MAULE,1
637,0.0,2,0,0.0,1,129891.5,0,2.0,1,884.0,1,SANTIAGO CENTRO,2
635,0.0,2,0,26017471.0,1,-26042950.5,0,51.0,1,1845.5,0,10MA UNIDAD REGIONAL LOS LAGOS,1
640,0.0,2,0,0.0,1,1894429.0,0,3.0,1,,2,7MA UNIDAD REGIONAL MAULE,1
641,0.0,2,0,77471.0,0,1701.5,0,16.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,2
698,0.0,2,0,107452.5,0,-97453.0,0,67.0,1,4241.0,1,SANTIAGO ORIENTE,2
697,0.0,2,0,0.0,1,-67013.5,0,3.0,1,,2,4TA UNIDAD REGIONAL COQUIMBO,1
672,0.0,2,0,0.0,0,23144.5,0,3.0,1,1019.0,1,5TA UNIDAD REGIONAL VALPARAISO,1
646,0.0,2,0,136831.0,1,110655.0,0,5.0,1,5876.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
645,0.0,2,0,220804.0,1,-173154.5,0,30.0,1,5558.5,0,9NA UNIDAD REGIONAL TEMUCO,2
643,0.0,2,0,7718291.0,1,-4310294.5,0,5.0,1,,2,6TA UNIDAD REGIONAL RANCAGUA,1
734,0.0,2,0,986719.0,1,-363538.0,0,43.0,1,,2,3RA UNIDAD REGIONAL ATACAMA,2
735,0.0,2,0,1595649.0,0,16282.5,0,1.0,1,985.0,0,SANTIAGO ORIENTE,1
736,0.0,2,0,0.0,1,0.0,0,1.0,1,6419.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
733,0.0,2,0,0.0,1,1394842.0,0,5.0,1,1162.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
639,0.0,2,0,0.0,1,8927.0,0,110.0,1,5000.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
577,0.0,2,0,793092.0,0,0.0,0,36.0,1,6525.5,0,SANTIAGO ORIENTE,2
579,0.0,2,0,0.0,0,386748.0,0,1.0,1,3824.5,0,9NA UNIDAD REGIONAL TEMUCO,2
581,0.0,2,0,0.0,0,2319.0,0,1.0,1,977.5,0,SANTIAGO PONIENTE,2
584,0.0,2,0,0.0,0,-2406951.5,0,7.0,1,4873.5,0,9NA UNIDAD REGIONAL TEMUCO,1
586,0.0,2,0,679401.0,1,-277831.5,0,10.0,1,1568.0,1,SANTIAGO CENTRO,1
588,0.0,2,0,10850691.0,0,0.0,0,3.0,1,2325.5,0,SANTIAGO ORIENTE,2
589,0.0,2,0,0.0,1,794.5,0,1.0,1,3282.0,1,3RA UNIDAD REGIONAL ATACAMA,1
619,0.0,2,0,256267095.0,0,-724486185.5,0,135.0,1,5533.0,0,SANTIAGO ORIENTE,1
628,0.0,2,0,11803750.0,0,-9728000.0,0,42.0,0,855.0,1,SANTIAGO CENTRO,1
629,0.0,2,0,109215.0,1,64144.0,0,48.0,1,1300.0,0,1RA UNIDAD REGIONAL IQUIQUE,1
630,0.0,2,0,4317205.0,1,-2861218.5,0,13.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
722,0.0,2,0,39556.0,0,37450.0,0,8.0,1,11374.0,1,SANTIAGO CENTRO,1
554,2.316729216773697e-05,2,0,0.0,1,2815613.0,0,1.0,1,1102.0,1,6TA UNIDAD REGIONAL RANCAGUA,2
585,1.3195705912256936e-05,2,0,983211.0,0,76.0,0,1.0,1,457.0,1,9NA UNIDAD REGIONAL TEMUCO,1
627,1.30843200299662e-05,2,0,14384426.5,0,57680.5,0,38.0,1,5678.0,0,SANTIAGO ORIENTE,2
710,0.0,2,0,3591662.0,1,-1110571.0,0,6.0,1,4425.5,0,SANTIAGO ORIENTE,2
624,0.0,2,0,0.0,1,-14820.0,0,3.0,1,,2,7MA UNIDAD REGIONAL MAULE,1
711,0.0,2,0,109662.0,1,-202349.0,0,7.0,1,,2,1RA UNIDAD REGIONAL IQUIQUE,2
596,0.0004638514621652,2,0,282150.0,1,-110338.5,0,3.0,1,2043.0,1,2DA UNIDAD REGIONAL ANTOFAGASTA,2
580,0.00012214406381475,2,0,936149.5,0,-1864329.0,0,63.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,1
668,0.0001175415734878,2,0,0.0,1,1502068.5,0,13.0,1,2792.0,1,SANTIAGO CENTRO,1
587,6.026840728625e-05,2,0,29850.5,0,91852.0,0,1.0,1,893.5,0,SANTIAGO PONIENTE,1
561,3.091553089528177e-05,2,0,51898.0,0,9822.5,0,2.0,1,,2,10MA UNIDAD REGIONAL LOS LAGOS,2
648,3.055207919961814e-05,2,0,52528808.0,1,76121.0,0,37.0,1,2718.5,0,SANTIAGO ORIENTE,2
631,0.0,2,0,21761794.0,1,-14246757.5,0,29.0,1,7344.0,1,7MA UNIDAD REGIONAL MAULE,1
544,0.005337393559846949,2,0,5910.0,0,-1479559.0,0,9.5,0,1603.5,0,SANTIAGO CENTRO,2
574,0.0,2,0,748969.0,1,-488960.0,0,78.0,1,2220.5,0,SANTIAGO CENTRO,1
575,0.0,2,0,0.0,1,21303.0,0,1.0,1,2486.5,0,SANTIAGO CENTRO,2
576,0.0,2,0,2901082.0,0,-1037400.0,0,2.0,0,540.0,0,10MA UNIDAD REGIONAL LOS LAGOS,1
666,0.40559472374174277,2,0,1704296.0,1,232939.0,0,44.0,1,3135.0,1,SANTIAGO PONIENTE,1
572,0.0190563151198404,2,0,798589.5,0,365160.0,0,7.0,0,1467.5,0,5TA UNIDAD REGIONAL VALPARAISO,2
664,0.5,2,1,0.0,1,1167564.0,0,71.0,1,1558.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
701,0.5,2,1,,2,-14575411.0,0,32.0,1,1516.5,0,4TA UNIDAD REGIONAL COQUIMBO,1
622,0.5,2,1,10279.0,1,-9468514.5,0,44.5,0,3785.0,0,SANTIAGO CENTRO,1
564,0.5,2,1,0.0,1,-17330774.0,0,32.5,0,893.0,0,SANTIAGO CENTRO,1
610,0.5,2,1,2282.5,0,-36021763.5,0,27.0,0,1765.0,0,SANTIAGO SUR,2
626,0.4516541363395188,2,0,7944103.0,1,886116.5,0,137.0,1,,2,SANTIAGO SUR,1
583,0.0,2,0,0.0,1,356927.5,0,10.0,1,1634.0,1,SANTIAGO ORIENTE,2
568,0.0,2,0,64600.0,1,-30405.0,0,3.0,1,2045.0,1,9NA UNIDAD REGIONAL TEMUCO,1
548,0.0,2,0,0.0,1,1995812.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,1
598,0.00207141299173635,2,0,52519.0,0,1148455.5,0,18.0,0,2550.0,0,SANTIAGO ORIENTE,2
558,0.0019605893730734,2,0,206057.0,1,-139371.5,0,13.0,1,2523.0,1,8VA UNIDAD REGIONAL BIO BIO,1
625,0.00122566781935905,2,0,47471.0,0,42803.0,0,9.0,1,1661.0,0,SANTIAGO CENTRO,1
590,0.0,2,0,8854024.0,1,-69714.0,0,10.0,1,640.0,1,21VA DIRECCION REGIONAL CHILLAN,1
591,0.0,2,0,363265.0,1,-114817.0,0,9.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,1
592,0.0,2,0,,2,1665.5,0,1.0,1,665.0,1,SANTIAGO CENTRO,1
593,0.0,2,0,215272.0,1,-204010.5,0,3.0,1,1651.0,1,6TA UNIDAD REGIONAL RANCAGUA,1
595,0.0,2,0,51602.5,0,43927.5,0,10.0,1,,2,8VA UNIDAD REGIONAL BIO BIO,2
597,0.0,2,0,10777.5,0,614034.5,0,1.0,1,1984.5,0,19NA UNIDAD REGIONAL DE LOS RIOS,1
599,0.0,2,0,0.0,1,2460330.0,0,197.0,1,2732.0,1,8VA UNIDAD REGIONAL BIO BIO,1
546,0.0,2,0,19160.0,1,481341.0,0,24.0,1,,2,3RA UNIDAD REGIONAL ATACAMA,1
739,0.0,1,0,73942.0,0,1299936.0,0,21.0,0,,1,8VA UNIDAD REGIONAL BIO BIO,1
742,0.0,1,0,1055717.0,0,-1166783.0,0,21.0,0,905.0,0,SANTIAGO SUR,1
741,0.0,1,0,161502.0,0,-161500.0,0,3.0,0,876.0,0,SANTIAGO ORIENTE,1
747,0.0,1,0,0.0,0,-45574.0,0,14.0,0,1452.0,0,10MA UNIDAD REGIONAL LOS LAGOS,1
746,0.0,1,0,137108.0,0,-219188.0,0,4.0,0,1037.0,0,SANTIAGO CENTRO,1
745,0.0,1,0,358859.0,0,-250559.0,0,5.0,0,1928.0,0,3RA UNIDAD REGIONAL ATACAMA,1
744,0.0,1,0,3301530.0,0,1329582.0,0,103.0,0,1736.0,0,SANTIAGO SUR,1
743,0.0,1,0,,1,1136200.0,0,1.0,0,2694.0,0,SANTIAGO CENTRO,1
740,0.0015533454583058,1,0,130181.0,0,-761759.0,0,5.0,0,,1,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
737,0.0,1,0,190540.0,0,-187234.0,0,10.0,0,8091.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
738,0.0,1,0,43478501.0,0,-152673782.0,0,64.0,0,3221.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
